"date","mean_discharge_cms"
"05/23/2018",18.3
"05/24/2018",22.7
"05/25/2018",17.5
"05/26/2018",14.8
"05/27/2018",13.8
"05/28/2018",12.6
"05/29/2018",11.7
"05/30/2018",11.1
"05/31/2018",11.1
"06/01/2018",10.2
"06/02/2018",9.3
"06/03/2018",9.5
"06/04/2018",9.6
"06/05/2018",8.9
"06/06/2018",8.2
"06/07/2018",7.7
"06/08/2018",7.1
"06/09/2018",12
"06/10/2018",14.1
"06/11/2018",10
"06/12/2018",10.7
"06/13/2018",9
"06/14/2018",6.5
"06/15/2018",6.3
"06/16/2018",6.1
"06/17/2018",7
"06/18/2018",7.5
"06/19/2018",8.3
"06/20/2018",6.7
"06/21/2018",6.4
"06/22/2018",6.8
"06/23/2018",6.3
"06/24/2018",5.1
"06/25/2018",3.8
"06/26/2018",3.2
"06/27/2018",3
"06/28/2018",2.9
"06/29/2018",3
"06/30/2018",2.7
"07/01/2018",2.5
"07/02/2018",2.1
"07/03/2018",2
"07/04/2018",1.9
"07/05/2018",1.8
"07/06/2018",1.5
"07/07/2018",1.4
"07/08/2018",1.2
"07/09/2018",1.1
"07/10/2018",0.9
"07/11/2018",0.8
"07/12/2018",0.7
"07/13/2018",0.7
"07/14/2018",0.6
"07/15/2018",0.5
"07/16/2018",0.4
"07/17/2018",0.4
"07/18/2018",0.4
"07/19/2018",0.3
"07/20/2018",0.2
"07/21/2018",0.2
"07/22/2018",0.2
"07/23/2018",0.2
"07/24/2018",0.2
"07/25/2018",0.1
"07/26/2018",0.1
"07/27/2018",0.1
"07/28/2018",0
"07/29/2018",0
"07/30/2018",0
"07/31/2018",0
"08/01/2018",0
"08/02/2018",0
"08/03/2018",0
"08/04/2018",0
"08/05/2018",0
"08/06/2018",0
"08/07/2018",0
"08/08/2018",0
"08/09/2018",0
"08/10/2018",0.1
"08/11/2018",0.1
"08/12/2018",0.1
"08/13/2018",0.1
"08/14/2018",0.1
"08/15/2018",0.1
"08/16/2018",0.1
"08/17/2018",0.1
"08/18/2018",0.1
"08/19/2018",0.1
"08/20/2018",0.1
"08/21/2018",0.1
"08/22/2018",0.1
"08/23/2018",0.1
"08/24/2018",0.1
"08/25/2018",0.1
"08/26/2018",0.1
"08/27/2018",0.4
"08/28/2018",0.5
"08/29/2018",0.4
"08/30/2018",0.3
"08/31/2018",0.3
"09/01/2018",0.3
"09/02/2018",0.3
"09/03/2018",0.3
"09/04/2018",0.3
"09/05/2018",0.3
"09/06/2018",0.3
"09/07/2018",0.3
"09/08/2018",0.3
"09/09/2018",0.3
"09/10/2018",0.3
"09/11/2018",0.3
"09/12/2018",0.4
"09/13/2018",0.5
"09/14/2018",0.5
"09/15/2018",0.5
"09/16/2018",0.6
"09/17/2018",0.6
"09/18/2018",0.5
"09/19/2018",0.5
"09/20/2018",0.5
"09/21/2018",0.5
"09/22/2018",0.6
"09/23/2018",0.6
"09/24/2018",0.6
"09/25/2018",0.6
